测试集名称	故障类型
test0001	normal
test0002	roller_wear
test0003	inner_wear
test0004	roller_broken
test0005	inner_broken
test0006	outer_missing
test0007	roller_wear
test0008	normal
test0009	normal
test0010	outer_missing
test0011	outer_missing
test0012	outer_missing
test0013	outer_missing
test0014	outer_missing
test0015	outer_missing
test0016	roller_wear
test0017	outer_missing
test0018	roller_broken
test0019	roller_wear
test0020	inner_wear
test0021	outer_missing
test0022	normal
test0023	outer_missing
test0024	roller_broken
test0025	roller_broken
test0026	outer_missing
test0027	inner_wear
test0028	roller_wear
test0029	outer_missing
test0030	outer_missing
test0031	outer_missing
test0032	roller_wear
test0033	inner_wear
test0034	inner_broken
test0035	outer_missing
test0036	outer_missing
test0037	roller_broken
test0038	outer_missing
test0039	inner_wear
test0040	outer_missing
test0041	roller_wear
test0042	inner_wear
test0043	roller_wear
test0044	roller_wear
test0045	roller_wear
test0046	roller_wear
test0047	roller_wear
test0048	roller_wear
test0049	outer_missing
test0050	roller_wear
test0051	outer_missing
test0052	outer_missing
test0053	inner_wear
test0054	normal
test0055	roller_wear
test0056	inner_wear
test0057	normal
test0058	roller_wear
test0059	outer_missing
test0060	roller_wear
test0061	outer_missing
test0062	roller_wear
test0063	outer_missing
test0064	inner_broken
test0065	roller_broken
test0066	roller_wear
test0067	roller_broken
test0068	normal
test0069	outer_missing
test0070	normal
test0071	outer_missing
test0072	outer_missing
test0073	inner_wear
test0074	outer_missing
test0075	roller_broken
test0076	roller_wear
test0077	outer_missing
test0078	outer_missing
test0079	roller_wear
test0080	roller_wear
test0081	roller_wear
test0082	outer_missing
test0083	roller_wear
test0084	outer_missing
test0085	outer_missing
test0086	normal
test0087	normal
test0088	roller_broken
test0089	inner_wear
test0090	inner_wear
test0091	outer_missing
test0092	outer_missing
test0093	inner_wear
test0094	roller_wear
test0095	normal
test0096	outer_missing
test0097	roller_wear
test0098	outer_missing
test0099	outer_missing
test0100	roller_wear
test0101	normal
test0102	outer_missing
test0103	outer_missing
test0104	roller_wear
test0105	outer_missing
test0106	outer_missing
test0107	roller_broken
test0108	inner_wear
test0109	normal
test0110	normal
test0111	outer_missing
test0112	outer_missing
test0113	inner_wear
test0114	normal
test0115	inner_wear
test0116	normal
test0117	roller_broken
test0118	normal
test0119	inner_wear
test0120	outer_missing
test0121	inner_wear
test0122	outer_missing
