测试集名称	故障类型
test0001	normal
test0002	roller_broken
test0003	roller_wear
test0004	inner_wear
test0005	inner_broken
test0006	outer_missing
test0007	normal
test0008	roller_broken
test0009	roller_wear
test0010	inner_wear
test0011	inner_broken
test0012	outer_missing
test0013	normal
test0014	roller_broken
test0015	roller_wear
test0016	inner_wear
test0017	inner_broken
test0018	outer_missing
test0019	normal
test0020	roller_broken
test0021	roller_wear
test0022	inner_wear
test0023	inner_broken
test0024	outer_missing
test0025	normal
test0026	roller_broken
test0027	roller_wear
test0028	inner_wear
test0029	inner_broken
test0030	outer_missing
test0031	normal
test0032	roller_broken
test0033	roller_wear
test0034	inner_wear
test0035	inner_broken
test0036	outer_missing
test0037	normal
test0038	roller_broken
test0039	roller_wear
test0040	inner_wear
test0041	inner_broken
test0042	outer_missing
test0043	normal
test0044	roller_broken
test0045	roller_wear
test0046	inner_wear
test0047	inner_broken
test0048	outer_missing
test0049	normal
test0050	roller_broken
test0051	roller_wear
test0052	inner_wear
test0053	inner_broken
test0054	outer_missing
test0055	normal
test0056	roller_broken
test0057	roller_wear
test0058	inner_wear
test0059	inner_broken
test0060	outer_missing
test0061	normal
test0062	roller_broken
test0063	roller_wear
test0064	inner_wear
test0065	inner_broken
test0066	outer_missing
test0067	normal
test0068	roller_broken
test0069	roller_wear
test0070	inner_wear
test0071	inner_broken
test0072	outer_missing
test0073	normal
test0074	roller_broken
test0075	roller_wear
test0076	inner_wear
test0077	inner_broken
test0078	outer_missing
test0079	normal
test0080	roller_broken
test0081	roller_wear
test0082	inner_wear
test0083	inner_broken
test0084	outer_missing
test0085	normal
test0086	roller_broken
test0087	roller_wear
test0088	inner_wear
test0089	inner_broken
test0090	outer_missing
test0091	normal
test0092	roller_broken
test0093	roller_wear
test0094	inner_wear
test0095	inner_broken
test0096	outer_missing
test0097	normal
test0098	roller_broken
test0099	roller_wear
test0100	inner_wear
test0101	inner_broken
test0102	outer_missing
test0103	normal
test0104	roller_broken
test0105	roller_wear
test0106	inner_wear
test0107	inner_broken
test0108	outer_missing
test0109	normal
test0110	roller_broken
test0111	roller_wear
test0112	inner_wear
test0113	inner_broken
test0114	outer_missing
test0115	normal
test0116	roller_broken
test0117	roller_wear
test0118	inner_wear
test0119	inner_broken
test0120	outer_missing
test0121	normal
test0122	roller_broken
test0123	roller_wear
test0124	inner_wear
test0125	inner_broken
test0126	outer_missing
test0127	normal
test0128	roller_broken
test0129	roller_wear
test0130	inner_wear
test0131	inner_broken
test0132	outer_missing
test0133	normal
test0134	roller_broken
test0135	roller_wear
test0136	inner_wear
test0137	inner_broken
test0138	outer_missing
test0139	normal
test0140	roller_broken
test0141	roller_wear
test0142	inner_wear
test0143	inner_broken
test0144	outer_missing
test0145	normal
test0146	roller_broken
test0147	roller_wear
test0148	inner_wear
test0149	inner_broken
test0150	outer_missing
test0151	normal
test0152	roller_broken
test0153	roller_wear
test0154	inner_wear
test0155	inner_broken
test0156	outer_missing
test0157	normal
test0158	roller_broken
test0159	roller_wear
test0160	inner_wear
test0161	inner_broken
test0162	outer_missing
test0163	normal
test0164	roller_broken
test0165	roller_wear
test0166	inner_wear
test0167	inner_broken
test0168	outer_missing
test0169	normal
test0170	roller_broken
test0171	roller_wear
test0172	inner_wear
test0173	inner_broken
test0174	outer_missing
test0175	normal
test0176	roller_broken
test0177	roller_wear
test0178	inner_wear
test0179	inner_broken
test0180	outer_missing
test0181	normal
test0182	roller_broken
